"Project #","Project Title","Research Focus Area","Research Program","Administering IC(s)",Institution(s),Investigator(s),Location(s),"Year Awarded",Summary
1K01DA044279-01A1,"PREVENTING SUBSTANCE USE AMONG YOUTH: BEHAVIORAL AND ECONOMIC IMPACT OF ENHANCED IMPLEMENTATION STRATEGIES FOR COMMUNITIES","New Strategies to Prevent and Treat Opioid Addiction","Preventing Opioid Use Disorder",NIDA,"University of Michigan Ann Arbor","EISMAN, ANDRIA B","Ann Arbor, MI",2019,"Quality implementation of evidence-based programs (EBPs) in community settings for youth is critical for reducing the burden of alcohol, tobacco and other drug (ATOD) use and its consequences. EBPs delivered in schools are an efficient way to reach large populations of young people, including those underserved by other settings, and reduce and prevent ATOD use. Yet youth rarely receive EBPs as intended in community settings, including schools. This training and research plan will prepare the investigator to become an independent scholar in the implementation of theories and frameworks to better understand factors related to program delivery—approaches to enhancing ATOD programs for youth in community settings. More specifically, the training will allow him to expand the application of Consolidated Framework for Implementation Research (CFIR) to inform approaches to enhancing effective EBP delivery. The proposed training and research plan extends current implementation research to focus applying implementation theories, frameworks and strategies in other community settings (schools) and on economic evaluation of implementation strategies. The results are expected to improve current efforts to deliver EBPs in diverse community settings and aid in applying evidence-based implementation strategies in the school context to ultimately reduce and prevent ATOD use among youth."
1U24NS113850-01,"Clinical Coordinating Center for the Health Initiative in Early Phase Pain Investigation Clinical Network","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"MASSACHUSETTS GENERAL HOSPITAL","FAVA, MAURIZIO; DWORKIN, ROBERT H; EDWARDS, ROBERT R; RATHMELL, JAMES P","Boston, MA",2019,"The objective of the Early Phase Pain Investigation Clinical Network (EPPIC-Net) and EPPIC- Net initiatives is to rapidly and efficiently translate advances in the neurobiology of pain into treatments for people with chronic and acute pain, conditions associated with a significant burden to both patients and society. The Clinical Coordinating Center (CCC) for EPPIC-Net will promote and facilitate, from initial conception through final analysis, clinical trials in adult and pediatric populations with acute or chronic pain by providing efficient methodological, organizational, and logistical support. The EPPIC-Net-CCC will adopt and establish processes aimed at dramatically increasing the efficiency of multicenter clinical trials, improving the overall quality of clinical trials, promoting patient recruitment and retention as well as increasing the number of clinical investigators and research staff well trained and passionate about leading and conducting multicenter clinical trials."
1UF1MH121942-01,"Collaborating to Heal Addiction and Mental Health in Primary care (CHAMP)","New Strategies to Prevent and Treat Opioid Addiction","Optimizing Care for People with Opioid Use Disorder and Mental Health Conditions",NIMH,"UNIVERSITY OF WASHINGTON","FORTNEY, JOHN C.; RATZLIFF, ANNA; SAXON, ANDREW J.","Seattle, WA",2019,"Medication-assisted treatment (MAT) represents the gold-standard intervention for opioid use disorder (OUD). However, only 20% of Americans with OUD received any formal or informal addiction treatment in the past year. Lack of access and engagement in MAT is driving poor OUD outcomes, especially in rural areas lacking specialty addiction services. The Advancing Integrated Mental Health Solutions (AIMS) Center at the University of Washington has successfully helped over a thousand primary care clinics across the country implement collaborative care for mental health disorders. The study will determine whether collaborative care can be used to successfully treat mental health disorders and OUD concurrently in primary care settings. Clinics offering collaborative care will randomize sites to add OUD to their collaborative care program or remain unchanged. Clinics not offering collaborative care will randomize sites to implementing collaborative care for OUD and mental health disorders simultaneously or for mental health disorders only."
1UG1DA050077-01,"A comparative effectiveness trial of extended release naltrexone versus extended-release buprenorphine with individuals leaving jail","Translation of Research to Practice for the Treatment of Opioid Addiction","Justice Community Opioid Innovation Network",NIDA,"FRIENDS RESEARCH INSTITUTE, INC.","GORDON, MICHAEL SCOTT; MITCHELL, SHANNON GWIN","Baltimore, MD",2019,"A large number of individuals under criminal justice supervision with opioid use disorders (OUDs) have limited access to pharmacotherapy treatment, an intervention found to reduce substance use, HIV-risk behavior, and criminal activity. This randomized clinical trial will assess the effectiveness of an extended-release buprenorphine (XR-B) formulation compared to extended-release naltrexone (XR-NTX) in county jail inmates prior to release. Understanding how to expand acceptance of medications for OUD, particularly long-acting medications, in jails has far-reaching implications for treatment expansion in this population."
1R34DA046730-01,"Web-Based Treatment for Perinatal Opioid Use Disorder","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"MEDICAL UNIVERSITY OF SOUTH CAROLINA","Guille, Constance","Charleston, SC",2019,"The increased risk of maternal, obstetric, and newborn morbidity and mortality associated with perinatal prescription opioid (PO) misuse and opioid use disorder (OUD) is well established. Despite clear advances in maternal, fetal, and newborn health with treatment of perinatal opioid misuse and OUD, much work remains. Preliminary data has demonstrated significant reductions in opioid misuse as a result of our Cognitive Behavioral Therapy (CBT) program for pain combined with shared decision making for medication management for pregnant women misusing POs or with OUD (including heroin). However, access to the program is still limited and several obstacles to its expansion remain. This proposal will fill this critical gap by converting their CBT intervention from in-person sessions to a web-based interface. The proposed research will result in a critical advance in the management of opioid use and abuse during pregnancy and prevent both the acute and long-term risks associated with pre- and perinatal PO misuse and OUD, including overdose and death."
3U24TR001579-04S1,"TIN Supplement","Clinical Research in Pain Management","Pain Management Effectiveness Research Network",NCATS,"Vanderbilt University","Harris, Paul A","Nashville, TN",2019,"no summary"
1U24NS115679-01,"MACC/EPICC-Net as a Hub for the HEAL Initiative EPICC-Net","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"MEDICAL COLLEGE OF WISCONSIN","HERNANDEZ-MEIER, JENNIFER LYNN","Madison, WI",2019,"no summary"
1UG3DA048734-01,"Evaluating Suvorexant for Sleep Disturbance in Opioid Use Disorder","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"JOHNS HOPKINS UNIVERSITY","HUHN, ANDREW S; DUNN, KELLY E.","Baltimore, MD",2019,"A recent FDA public meeting identified sleep disturbance as a primary contributor to opioid use disorder (OUD) treatment failure. Suvorexant (SUVO; Belsomra®) is a dual orexin receptor antagonist that is FDA-approved for insomnia, with low addiction liability, that improves sleep continuity with a single dose, has an extremely safe and mild side-effect profile, has clear interactions with the opioid system, and has not yet been evaluated in OUD patients. The hypothesis is that SUVO will improve total sleep time during withdrawal, have no addiction liability, and be more efficacious than trazodone, a common OUD-associated insomnia medication. Primary outcomes will be objective sleep measures and addiction liability. Secondary measures will include objective, biological, and self-report measures of opioid withdrawal severity, treatment retention, craving, and stress. Results will advance the treatment of OUD, the understanding of sleep and opioids, and the use of SUVO in clinical populations."
1R43DA049623-01,"Non-invasive Neuromodulation Device for Decreasing Withdrawal Symptoms and Craving during Treatment of Opioid Use Disorder","New Strategies to Prevent and Treat Opioid Addiction","Small Business Research and Development",NIDA,"THERANOVA, LLC","JAASMA, MICHAEL","San Francisco, CA",2019,"Opioid use disorder (OUD) can be lethal, with opioid overdose causing more than 115 deaths in the U.S. each day. Although medications are effective at reducing illicit opioid use and overdose deaths, it is well-established that withdrawal and craving are highest in the initial weeks, making this a high-risk period for treatment dropout, relapse, and overdose. Adjunct therapies that can reduce early opioid withdrawal and craving may improve retention in treatment with buprenorphine-naloxone, and recent research has shown that stimulation of a peripheral nerve significantly modulates withdrawal- and craving-related responses for opioids and other drugs. This project will test the effectiveness of the EMPOWER Neuromodulation System, a portable, non-invasive transcutaneous electrical nerve stimulation (TENS) device developed by TheraNova for the treatment of OUD."
3R01NS045594-13,"Study of Activity Dependent Sympathetic Sprouting","Preclinical and Translational Research in Pain Management","Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain",NINDS,"UNIVERSITY OF CINCINNATI","JUN-MING, Zhang","Cincinnati, OH",2019,"Many chronic pain conditions are dependent upon activity of the sympathetic nervous system. Sympathetic blockade is used clinically in chronic pain conditions, but the clinical and preclinical evidence for this practice is incomplete. We propose that certain pathological pain conditions require intact sympathetic innervation of the sensory nervous system at the level of the dorsal root ganglion (DRG) and that release of sympathetic transmitters enhances local inflammation and leads to pain. Our preliminary data show large, rapid, and long-lasting reduction of pain behaviors and inflammatory responses following a""microsympathectomy"" (mSYMPX) in both neuropathic and inflammatory pain models. Our aims are to: 1) characterize the effects of mSYMPX on pain and on local inflammation in the DRG; 2) explore the molecular mechanisms for sympathetic regulation of inflammatory responses in the DRG; and 3) assess the functional role of sympathetic transmitters in the sympathetically mediated inflammatory responses in the DRG."
1UG3DA050174-01,"Prevention of OUD: The HOME (Housing, Opportunities, Motivation and Engagement) Randomized Trial","New Strategies to Prevent and Treat Opioid Addiction","Preventing Opioid Use Disorder",NIDA,"Ohio State University","Kelleher, Kelly J.; Slesnick, Natasha (contact)","Columbus, OH",2019,"Evidence suggests that homeless youth have the highest rates of opioid use among youth subgroups in the country (Brands et al., 2005). Resolution of youth homelessness through housing and prevention services, often referred to as “Housing First”, has great potential to reduce the likelihood for the development of an opioid use disorder as well as other problem behaviors associated with living on the streets. However, only 20 percent to 30 percent of homeless youth samples report ever having stayed at a crisis shelter, 9 percent report having ever accessed mental health services, and 15 percent report ever having received treatment for substance use disorder (Ray, 2006), indicating a need to reach and engage youth in services that are feasible and acceptable. The results of this study will provide essential information for researchers and providers on the efficacy of housing plus opioid and related risk prevention services in a randomized controlled trial on opioid use, how moderators affect the response, and mechanisms underlying change."
1R43DA050360-01,"Transcutaneous auricular neurostimulation for neonatal abstinence syndrome","New Strategies to Prevent and Treat Opioid Addiction","Small Business Research and Development",NIDA,"SPARK BIOMEDICAL INC","KHODAPARAST, NAVID","Friendswood, TX",2019,"As of 2012, an infant with neonatal abstinence syndrome (NAS) was born every 25 minutes in the United States, accounting for more than $1.5 billion in national health care expenditures. These infants frequently require hospital stay in a neonatal intensive care unit (NICU), with an average hospital stay of 25 days at an average treatment cost of $66,000. Treatment of NAS usually follows a multimodal regime based on drug therapy with an oral morphine solution, mostly in combination with a sedative, but there is a need for nonpharmacological approaches. This project will test a transcutaneous auricular neurostimulation device to help NAS babies recover from opioid withdrawal without harmful side effects. The non-invasive, auricular neurostimulation device will be placed around the ear (similar to a hearing aid), and stimulation will be delivered transcutaneously."
3R44DA044083-03S1,"CLINICAL DATA INTELLIGENCE &amp; ADVANCED ANALYTICS TO REDUCE DRUG DIVERSION ACROSS THE CARE DELIVERY CYCLE AND DRUG SUPPLY CHAIN IN HEALTH SYSTEMS","New Strategies to Prevent and Treat Opioid Addiction","Small Business Research and Development",NIDA,"Invistics Corporation","Knight, Thomas","Peachtree Corners, GA",2019,"There are alarming rates of substance abuse and diversion in hospitals, with multiple studies finding that roughly 10% of our nation’s nurses, anesthesiologists, and pharmacists are currently diverting drugs in their workplaces. Diversion continues even though most hospitals already lock addictive drugs in Automated Dispensing Machines (ADMs) and run monthly “anomalous usage” computer reports to try to detect diversion. This SBIR project will research mechanisms to detect when health care workers (HCWs) in hospitals steal or “divert” legal drugs, either to abuse themselves or to illegally sell to others, by building a computer system with (a) automated data feeds from multiple existing hospital computer systems and (b) advanced analytics to flag potential diversion for investigation. This research has the potential to reduce injuries to HCWs who are becoming addicted, destroying their careers, jeopardizing their patients’ safety, and increasingly dying from drug diversion overdoses."
1R43DA049616-01,"Development and Evaluation of Computerized Chemosensory-Based Orbitofrontal Cortex Training (CBOT) for relapse preventionin patients with Opioid Use (OUD)","New Strategies to Prevent and Treat Opioid Addiction","Small Business Research and Development",NIDA,"EVON MEDICS, LLC","LAWSON, WILLIAM BRADFORD; NWULIA, EVARISTUS A","Elkridge, MD",2019,"The orbitofrontal cortex (OFC) plays an important role in regulation of addiction, and OFC impairment from cocaine and opioids use leads to repetitive drug use. Brief optogenetic activation of the OFC reduces self-administration of drugs in neurobiology studies. However, the OFC is less accessible for noninvasive stimulation using direct transcutaneous current stimulation or transcranial magnetic stimulation. The small business EvON Medics LLC and Howard University have created a home-based olfactory pulsing prototype, called computerized chemosensory-based orbitofrontal cortex training (CBOT), using a high-fidelity chemosensory and computerized olfactory training approach to enable home-based neuromodulation of the OFC for treatment of opioid use disorder (OUD). A pilot feasibility study in OUD samples suggests that CBOT can minimize withdrawal symptoms, reduce drug cravings, enhance positive affect, and reduce rate of positive urine drug tests. The project seeks to establish CBOT stimulation parameters needed to maximally improve outcome inference and emotion regulation in OUD."
1UG1DA049436-01,"Appalachian Node","Translation of Research to Practice for the Treatment of Opioid Addiction","Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids",NIDA,"UNIVERSITY OF PITTSBURGH AT PITTSBURGH","LIEBSCHUTZ, JANE M; FEINBERG, JUDITH E","Pittsburgh, PA",2019,"The Appalachian Node of NIDA Clinical Trials Network (CTN) will address clinical research questions that arise from Central Appalachia, an epicenter of the current opioid epidemic. Its rural geography, culture of independence, strained economy, and lack of access to substance use treatment have all contributed to the epidemic. The three aims of the node are to (1) conduct multi-site trials that address the current opioid crisis, with an emphasis on conducting studies among rural and other underserved populations; (2) propose studies to test innovative uses of existing resources to implement evidence-based practices that will extend state-of-the-art care into resource-poor regions, both rural and urban; and (3) disseminate CTN findings to regional payers and policymakers, practitioners, and the community. Proposed studies built on the work of node investigators include “Serious Bacterial Infections Related to Injection Drug Use: Quality Metrics and Intervention” and “Pharmacist-Assisted Buprenorphine Treatment,” among others."
1R61AT010799-01,"Peer-Delivered Behavioral Activation Intervention to Improve Adherence to MAT Among Low-Income, Minority Individuals With OUD","Translation of Research to Practice for the Treatment of Opioid Addiction","Behavioral Research to Improve Medication-Based Treatment",NCCIH,"University of Maryland","MAGIDSON, JESSICA F","College Park, MD",2019,"Poor medication-assisted treatment (MAT) retention disproportionately affects low-income racial/ethnic minority individuals with opioid use disorder (OUD) and increases risk for relapse; therefore, evidence-based interventions are needed to improve MAT retention. Peer recovery coaches (PRCs), trained individuals with experiences with substance use disorder, may be uniquely suited to address common MAT retention barriers among underserved populations, including stigma, challenges navigating services, housing instability, and other structural and psychosocial factors. Preliminary work by the research team suggests that behavioral activation (BA) by PRCs may be a feasible, scalable reinforcement-based approach for improving MAT retention for low-income minority OUD individuals. The study builds upon the research team’s formative work to adapt and evaluate the effectiveness and implementation of a PRC-delivered BA intervention (Peer Activate) to improve MAT retention for low-income, minority individuals with OUD."
1R44DA050339-01,"Transforming smartphones into active sonar systems to detect opioid overdose","New Strategies to Prevent and Treat Opioid Addiction","Small Business Research and Development",NIDA,"SOUND LIFE SCIENCES, INC.","MARK, NICHOLAS MAXWELL","Seattle, WA",2019,"Deaths from opioid overdose are highly preventable with early detection and administration of naloxone, but overdose victims often die because they are alone or among untrained or impaired bystanders and thus do not receive timely resuscitation. There is an urgent, unmet need for a low-barrier, easily scalable solution that can identify opioid overdoses in real time and rapidly connect victims to naloxone therapy. This proposal seeks to commercialize an innovative overdose detection software product that can be downloaded on any commodity smartphone and can detect opioid- induced respiratory failure (i.e., overdose) and summon help. The software-only product, SecondChance, converts a smartphone into a short-range active sonar system capable of monitoring breathing and detecting overdose."
1UG3DA048353-01,"Opioid use disorders: UF Pharmacy medications discovery and development","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"UNIVERSITY OF FLORIDA","MCMAHON, LANCE R; MCCURDY, CHRISTOPHER R","Gainesville, FL",2019,"Opioids have been significantly over-prescribed and are associated with numerous deaths, resulting in the nation’s current opioid crisis. The FDA recently approved the ?2 adrenergic agonist lofexidine as a non-addictive, non-opioid treatment for opioid use disorder (OUD), but there is a continued, urgent need to develop additional pharmacological alternatives to address both pain and OUD. The psychoactive, natural product, Mitragyna speciosa (kratom), has triggered significant interest in this space because Mitragynine, its main alkaloid, can interact with both mu opioid and ?2 receptors, offering a totally new approach for treating OUD. This project involves the synthesis and research of a series of Mitragynine analogs to better understand the pharmacological mechanisms that underlie Mitragynine’s opioid and adrenergic activities. If successful, this project will result in templates for the design of novel opioid receptor ligands. This advance would greatly improve the knowledge of interactions of these structurally novel compounds with opioid receptors and facilitate the development of these ligands as treatments for OUD."
3U01DA040213-05S1,"Primary care prevention of stimulant diversion by high school students with ADHD","New Strategies to Prevent and Treat Opioid Addiction","Preventing Opioid Use Disorder",NIDA,"University of Pittsburgh at Pittsburgh","Molina, Brooke S. G.","Pittsburgh, PA",2019,"no summary"
3U01AA021691-08S1,"NATIONAL CONSORTIUM ON ALCOHOL AND NEURODEVELOPMENT IN ADOLESCENCE: OHSU","New Strategies to Prevent and Treat Opioid Addiction","Preventing Opioid Use Disorder",NIAAA,"Oregon Health & Science University","NAGEL, BONNIE J","Portland, OR",2019,"no summary"
1UG3DA048379-01,"Arylepoxamides: A new class of potent, safer analgesics","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"SLOAN-KETTERING INST CAN RESEARCH","PAN, YING-XIAN","New York, NY",2019,"The expansion of opioid prescribing in recent years to better treat pain has markedly increased their usage and availability and fueled an epidemic of abuse. Up to 80 percent of addicts reported initiating their habit through prescriptions drugs. Decreasing opioid prescriptions would lower opioid exposure, with fewer people receiving the drugs and less drug available for diversion. Study investigators have identified a novel target in the brain, distinct from any of the traditional opioid receptors capable of mediating potent analgesia without the reward behavior and side effects seen with traditional opioids. They targeted this site with a series of arylepoxamides and have identified a clinical candidate (MP1000) and backup compound. MP1000 is a potent analgesic in a range of thermal, inflammatory, and neuropathic analgesic assays. It fails to show reward behavior and does not produce respiratory depression at doses 5-fold greater than its analgesic ED50. Chronic administration does not produce physical dependence or withdrawal when challenged with an antagonist. It shows no cross tolerance to morphine and can be co-administered to subjects already on opioids for pain to lower their opioid usage (i.e., opioid sparing), facilitating the eventual discontinuation of the opioid. If successful, this project could lead to the development of a viable alternative to current opioid-based analgesics with reduced side effects (such as reward and respiratory depression) compared to opioids."
1U24NS113844-01,"EPPIC-NET DCC","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"NEW YORK UNIVERSITY SCHOOL OF MEDICINE","PETKOVA, EVA; TROXEL, ANDREA B","New York, NY",2019,"The Data Coordinating Center (DCC) of the Early Phase Pain Investigation Clinical Network (EPPIC-Net) will be the data and biospecimen manager for pain research within the HEAL Partnership. As such, it will host, manage, standardize, curate, and provide a sharing platform for data and biospecimens for HEAL initiatives, such as the Acute to Chronic Pain Signatures initiative and the BACPAC, in addition to EPPIC-Net studies. The DCC will develop and maintain a databank for depositing data, will link these data with a repository for biological samples, and will create a platform for teams to work together to analyze and interpret data. Further, the DCC will provide leadership in the statistical design and analysis of EPPIC-Net studies and will deploy advanced systems and processes for data collection, management, quality assurance, and reporting. The DCC will create, sustain, and continually advance a robust organization for the rapid design, implementation, and performance of high-quality rigorous Phase II clinical trials to test promising therapeutics for pain."
1R61NS113316-01,"Discovery and analytical validation of Inflammatory bio-signatures of the human pain experience","Preclinical and Translational Research in Pain Management","Discovery and Validation of Biomarkers, Endpoints, and Signatures for Pain Conditions",NINDS,"The University of Texas Health Science Center at Houston","PROSSIN, ALAN RODNEY","Houston, TX",2019,"Postoperative pain is a major contributor to the current opioid epidemic. Novel objective measures capable of personalizing pain care will enhance medical precision in prevention and treatment of postoperative pain. This project seeks to discover and validate a novel biosignature of the human pain experience, based on underlying IL-1 family cytokine activity and associated brain endogenous opioid function, that is readily quantifiable and clinically translatable to prevention and treatment of postoperative pain states. Specific aims will assess whether the novel biosignature will predict 1) experimentally induced pain during an experimental nociceptive pain challenge; 2) postoperative pain states with accuracy >75%, accounting for a wide range of variance in the human pain experience; and 3) postoperative pain states in an expanded clinically enriched sample."
5UG3DA047714-02,"Feasibility of Deep Brain Stimulation as a Novel Treatment for Refractory Opioid Use Disorder","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"WEST VIRGINIA UNIVERSITY","Rezai, Ali R","Morgantown, WV",2019,"no summary"
1R34DA050272-01,"1/2 Optimizing access, engagement and assessment to elucidate prenatal influences on neurodevelopment: The Brains Begin Before Birth (B4) Midwest Consortium","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"WASHINGTON UNIVERSITY","ROGERS, CYNTHIA E; SMYSER, CHRISTOPHER DANIEL","St. Louis, MO",2019,"Though prenatal exposure to opioids and other substances have adverse effects on neurodevelopment, advances in neuroimaging and developmentally sensitive phenotypic measurement now enable characterization of typical and atypical brain-behavior pathways on an unprecedented scale. The Brains Begin Before Birth (B4) Midwest Consortium, a partnership of neuroscience, substance use, perinatal mental health, and child welfare scientists at Washington University School of Medicine (WUSM) and neuroscience, bioethics, pediatric population health, maternal-fetal, and addiction scientists at Northwestern University (NU). This regional consortium will leverage the contrasting approaches of Illinois (punitive) and Missouri (non-punitive) to prenatal opioid use, providing a platform for examining the impact of jurisdictional variations on science and practice. The consortium provide a framework for addressing three major areas of challenge: (1) legal/ethical, (2) recruitment/retention, and (3) imaging/assessment methods."
3UG1DA013035-17S8,"Emergency Department-INitiated bupreNOrphine and VAlidaTIOn Network Trial (ED-INNOVATION)","Translation of Research to Practice for the Treatment of Opioid Addiction","Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids",NIDA,"NEW YORK UNIVERSITY SCHOOL OF MEDICINE","ROTROSEN, JOHN P; NUNES, EDWARD V.","New York, NY",2019,"Emergency department (ED)-initiated buprenorphine/naloxone (BUP) with referral for ongoing BUP is superior to referral alone in engaging patients with untreated opioid use disorder (OUD) in treatment at 30 days and is cost-effective. However, logistical barriers exist in translating research into practice. New BUP formulations such as the extended-release injectable BUP (CAM2038, XR-BUP) hold promise in addressing many of the barriers more effectively than sublingual buprenorphine (SL-BUP) by treating the patients’ symptoms for up to seven days. This study will recruit, train and provide resources to 30 ED sites throughout the U.S. using implementation facilitation strategies to address stigma and provide ED-initiated BUP for patients presenting with OUD who are not receiving medications for OUD. Once implementation is adequately achieved, the sites will conduct a randomized controlled trial (RCT) to compare the effectiveness of SL-BUP versus XR-BUP on ED patients’ engagement in formal addiction treatment seven days after their ED visit. In addition, in an ancillary component of the study, the use of XR-BUP will be assessed in ED patients with Clinical Opioid Withdrawal Scale (COWS) scores of"
1U2CDA050098-01,"Methodology and Advanced Analytics Resource Center","Translation of Research to Practice for the Treatment of Opioid Addiction","Justice Community Opioid Innovation Network",NIDA,"UNIVERSITY OF CHICAGO","SCHNEIDER, JOHN; POLLACK, HAROLD","Chicago, IL",2019,"Many individuals with opioid use disorder (OUD) pass through the criminal justice system over the course of their life. Improved access to high-quality, evidence-based addiction treatment in justice settings will be critical to addressing the opioid crisis. Through the Justice Community Opioid Innovation Network (JCOIN), the National Institutes of Health will study approaches to increase high-quality care for people with opioid misuse and OUD in justice populations. The Methodology and Advanced Analytics Resource Center (MAARC) will provide data infrastructure support across the network using advanced methods that provide best-in-class data storage, management and security with added value to clinical trials through products of forecasting, rapid real-time assessments, explication and exploration of trial findings, and cost-effectiveness analysis."
3R01NS094461-04S2,"TARGETING SPECIFIC INTERACTIONS BETWEEN A-KINASE ANCHORING PROTEINS (AKAPS) AND ION CHANNELS WITH CELL-PERMEANT PEPTIDES AS A NOVEL MODE OF THERAPEUTIC INTERVENTION AGAINST PAIN DISORDERS","Preclinical and Translational Research in Pain Management","Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain",NINDS,"UNIVERSITY OF TEXAS HLTH SCIENCE CENTER","SHAPIRO, MARK S","SAN ANTONIO, TX",2019,"Multi-protein complexes have emerged as a mechanism for spatiotemporal specificity and efficiency in the function and regulation of myriad cellular signals. In particular, many ion channels are clustered either with the receptors that modulate them, or with other ion channels whose activities are linked. Often the clustering is mediated by scaffolding proteins, such as the AKAP79/150 protein that is a focus of this research. This research will focus on three different channels critical to nervous function. One is the""M-type"" (KCNQ, Kv7) K+ channel that plays fundamental roles in the regulation of excitability in nerve and muscle. It is thought to associate with Gq/11- coupled receptors, protein kinases, calcineurin (CaN), calmodulin (CaM) and phosphoinositides via AKAP79/150. Another channel of focus is TRPV1, a nociceptive channel in sensory neurons that is also thought to be regulated by signaling proteins recruited by AKAP79/150. The third are L-type Ca2+ (CaV1.2) channels that are critical to synaptic plasticity, gene regulation and neuronal firing. This research will probe complexes containing AKAP79/150 and these three channels using""super-resolution"" STORM imaging of primary sensory neurons and heterologously-expressed tissue-culture cells, in which individual complexes can be visualized at 10-20 nm resolution with visible light, breaking the diffraction barrier of physics. The researchers hypothesize that AKAP79/150 brings several of these channels together to enable functional coupling, which the researchers will examine by patch-clamp electrophysiology of the neurons. Förster resonance energy transfer (FRET) will also be performed under total internal reflection fluorescence (TIRF) or confocal microscopy, further testing for complexes containing KCNQ, TRPV1 and CaV1.2 channels. Since all three of these channels bind to AKAP79/150, the researchers hypothesize that they co-assemble into complexes in neurons, together with certain G protein-coupled receptors. Furthermore, the researchers hypothesize these complexes to not be static, but rather to be dynamically regulated by other cellular signals, which the researchers will examine using rapid activation of kinases or phosphatases. Several types of mouse colonies of genetically altered AKAP150 knock-out or knock-in mice will be utilized."
1R34DA050342-01,"1/6 Planning for the HEALthy Early Development Study","Enhanced Outcomes for Infants and Children Exposed to Opioids","HEALthy Brain and Child Development Study (HBCD)",NIDA,"CASE WESTERN RESERVE UNIVERSITY","SINGER, LYNN T","Cleveland, OH",2019,"The Planning for the HEALthy Early Development Study will contribute to the design and recommended protocol for a future large-scale, multi-site research study to prospectively examine human brain, cognitive, behavioral, social, and emotional development of children beginning prenatally through ages 9–10 and to determine the impact of maternal pre- and postnatal substance use on short- and long-term development of children. The planning study will link investigators across 6 research sites who have complementary experience and expertise in the areas that are essential to designing the study. Planning activities will be accomplished using a coordinated set of 10 working groups. By the end of the planning phase, the 6 consortium sites will have produced and tested a recommended protocol for the future multi-site study and will have established feasibility of carrying out the study protocol at each of the 6 linked sites."
1R21DA048074-01,"Prescription Opioid Formulation to Deter Extraction, Injection, Insufflation, and Smoking","Novel Medication Options for Opioid Use Disorder and Overdose",,NIDA,"PURDUE UNIVERSITY","Solorio, Luis","West Lafayette, IN",2019,"This project aims to develop a novel abuse deterrent formulation (ADF) that will be uniquely designed to prevent abuse of the prescription pill. The study will focus on the development of the ADF with design aspects specifically focused on abuse through insufflation, smoking, injection, and taking multiple pills. The study will also validate the design by putting the pill through a rigorous test following the procedures outlined by the FDA Abuse-Deterrent-Opioids-Evaluation and Labeling guidelines. The study could result in the development of a novel ADF that will be resistant to a wide range of tampering, resulting in a safer formulation and pill design."
3R01DA045396-02S1,"Brief Individual and Parent Interventions for Marijuana Misuse in Truant Adolescents","New Strategies to Prevent and Treat Opioid Addiction","Preventing Opioid Use Disorder",NIDA,"Brown University","SPIRITO, ANTHONY","Providence, RI",2019,"Four out of five youth in the juvenile justice (JJ) system show evidence of being under the influence during their offenses, and more than half test positive for substances at the time of their arrest. Preventive intervention approaches that can be easily implemented within JJ settings may offer greater access to substance use care as well as increase families’ motivation to comply with court referrals to seek further services. It is especially important to evaluate interventions for court-involved, non-incarcerated (CINI) juveniles, as these youth account for two-thirds of those arrested; however, the bulk of extant research has been conducted with detained or incarcerated youth. In this application for supplemental funding, we capitalize on our parent grant (Brief Individual and Parent Interventions for Marijuana Misuse in Truant Adolescents) by proposing to develop an adjunctive, targeted preventive intervention for marijuana-using, JJ youth who are at elevated risk for illicit opioid use. The goal will be to develop a protocol for a single-session, parent-adolescent preventive intervention to decrease the likelihood of illicit opioid use in CINI adolescents. This formative work will culminate in a draft intervention manual."
